emotion,emotion_label,heart_rate,hrv,skin_conductance,movement,respiratory_rate,temperature,acceleration_x,acceleration_y,acceleration_z,ambient_light,blood_oxygen,timestamp,sequence_index,sequence_id
calm,0,84.003,43.129,0.243,0.147,10.49,36.88,-0.101,0.026,9.839,0.83,96.7,2025-07-16T18:08:58.557233,0,0
calm,0,71.815,58.411,0.282,0.106,17.13,36.61,0.01,-0.033,9.754,0.829,97.5,2025-07-16T18:08:59.557233,1,0
calm,0,85.0,39.672,0.332,0.004,15.401,36.8,0.006,0.002,9.803,0.364,97.1,2025-07-16T18:09:00.557233,2,0
calm,0,77.634,59.561,0.257,0.119,10.829,36.63,-0.047,0.001,9.829,0.577,96.9,2025-07-16T18:09:01.557233,3,0
calm,0,71.991,41.786,0.245,0.036,14.06,36.61,0.041,0.035,9.77,0.432,97.2,2025-07-16T18:09:02.557233,4,0
calm,0,71.707,45.277,0.311,0.092,13.671,36.58,-0.066,0.101,9.765,0.335,97.6,2025-07-16T18:09:03.557233,5,0
calm,0,63.546,53.86,0.287,0.06,10.231,36.53,-0.017,0.079,9.794,0.735,98.1,2025-07-16T18:09:04.557233,6,0
calm,0,66.305,47.171,0.302,0.175,15.792,36.56,0.148,-0.28,9.75,0.968,97.6,2025-07-16T18:09:05.557233,7,0
calm,0,56.156,30.417,0.423,0.087,10.171,36.54,0.139,0.096,9.787,0.11,97.8,2025-07-16T18:09:06.557233,8,0
calm,0,69.779,42.127,0.27,0.068,12.348,36.71,0.058,0.008,9.777,0.251,97.0,2025-07-16T18:09:07.557233,9,0
calm,0,64.614,54.922,0.235,0.096,15.621,36.56,-0.009,-0.04,9.793,0.236,97.4,2025-07-16T18:09:08.557233,10,0
calm,0,75.034,47.948,0.28,0.114,13.661,36.69,-0.269,-0.025,9.8,0.172,96.6,2025-07-16T18:09:09.557233,11,0
calm,0,59.976,37.91,0.202,0.108,15.705,36.47,-0.213,0.101,9.751,0.629,97.7,2025-07-16T18:09:10.557233,12,0
calm,0,57.693,46.736,0.299,0.139,16.149,36.42,0.003,-0.224,9.811,0.284,98.0,2025-07-16T18:09:11.557233,13,0
