emotion,emotion_label,heart_rate,hrv,skin_conductance,movement,respiratory_rate,temperature,acceleration_x,acceleration_y,acceleration_z,ambient_light,blood_oxygen,timestamp,case_type
excited,2,119.64965858099141,41.58392599116827,0.5698446281455103,0.473,20.843,36.99,-0.196,1.048,9.814,0.132,95.1,2025-07-16T19:04:12.016784,edge_case
anxious,4,180.0,90.0,0.785,0.205,27.341,37.08,-0.395,0.18,9.927,0.715,94.8,2025-07-16T19:04:12.017012,edge_case
anxious,4,119.50903376512171,71.47680542757861,0.837,0.382,27.28,36.84,0.513,-0.328,9.428,0.735,95.2,2025-07-16T19:04:12.017249,edge_case
anxious,4,103.579,13.181,0.874,0.178,18.0,36.96,0.052,-0.013,9.794,0.513,94.9,2025-07-16T19:04:12.017432,edge_case
focused,1,74.326,57.321,0.407,0.078,16.087,36.41,0.0,0.038,9.782,0.589,96.8,2025-07-16T19:04:12.017597,edge_case
stressed,3,92.24300368972762,20.293435187573046,0.4520334939135501,0.237,21.66,36.87,0.042,0.16,9.662,0.83,95.5,2025-07-16T19:04:12.017831,edge_case
excited,2,180.0,90.0,0.739,0.288,20.833,36.91,-0.29,0.28,9.991,0.951,95.3,2025-07-16T19:04:12.018187,edge_case
calm,0,125.40998604909193,66.11485706747548,0.232,0.066,18.0,36.38,-0.062,0.066,9.814,0.535,97.1,2025-07-16T19:04:12.018577,edge_case
anxious,4,105.564,14.261,0.757,0.4,23.072,37.11,0.107,0.298,10.23,0.464,95.7,2025-07-16T19:04:12.018760,edge_case
anxious,4,105.013,16.922,0.802,0.542,24.032,37.25,0.064,0.276,9.6,0.263,94.4,2025-07-16T19:04:12.018933,edge_case
excited,2,97.46904573161812,40.94353016809142,0.742970684525653,0.7,14.0,37.31,0.231,0.03,9.529,0.833,94.8,2025-07-16T19:04:12.019100,edge_case
fatigued,5,180.0,8.0,0.198,0.181,13.931,36.53,-0.094,0.015,10.025,0.382,97.2,2025-07-16T19:04:12.019271,edge_case
