emotion,emotion_label,heart_rate,hrv,skin_conductance,movement,respiratory_rate,temperature,acceleration_x,acceleration_y,acceleration_z,ambient_light,blood_oxygen,timestamp,sequence_index,sequence_id
calm,0,62.726,30.0,0.266,0.157,15.446,36.33,0.208,0.058,9.835,0.688,97.1,2025-07-16T19:04:11.497271,0,0
calm,0,75.915,58.669,0.202,0.095,10.098,36.58,-0.132,-0.054,9.75,0.683,96.4,2025-07-16T19:04:12.497271,1,0
calm,0,56.27,45.627,0.205,0.065,13.531,36.34,0.047,0.043,9.781,0.875,98.2,2025-07-16T19:04:13.497271,2,0
calm,0,80.596,51.623,0.402,0.0,15.544,36.51,0.0,0.0,9.8,0.818,96.9,2025-07-16T19:04:14.497271,3,0
calm,0,65.012,56.4,0.325,0.122,14.486,36.69,-0.027,0.027,9.745,0.123,96.4,2025-07-16T19:04:15.497271,4,0
calm,0,76.651,36.701,0.15,0.016,12.822,36.55,-0.021,-0.035,9.794,0.945,97.0,2025-07-16T19:04:16.497271,5,0
calm,0,68.236,50.145,0.453,0.124,15.186,36.57,-0.109,-0.069,9.88,0.293,96.9,2025-07-16T19:04:17.497271,6,0
calm,0,62.343,36.701,0.5,0.085,10.55,36.57,-0.001,0.053,9.832,0.204,96.5,2025-07-16T19:04:18.497271,7,0
calm,0,64.235,46.917,0.323,0.138,17.114,36.36,-0.043,-0.067,9.723,0.823,97.2,2025-07-16T19:04:19.497271,8,0
calm,0,68.276,55.851,0.15,0.076,15.695,36.43,-0.008,0.148,9.777,0.639,97.2,2025-07-16T19:04:20.497271,9,0
calm,0,60.251,52.64,0.263,0.174,16.865,36.68,-0.035,-0.187,9.73,0.481,97.3,2025-07-16T19:04:21.497271,10,0
calm,0,62.47,63.992,0.361,0.109,10.118,36.59,-0.172,-0.179,9.904,0.181,96.7,2025-07-16T19:04:22.497271,11,0
calm,0,72.281,32.641,0.256,0.195,13.686,36.65,0.118,0.025,9.691,0.997,97.1,2025-07-16T19:04:23.497271,12,0
calm,0,58.641,38.689,0.279,0.062,16.309,36.47,-0.065,-0.074,9.763,0.821,97.3,2025-07-16T19:04:24.497271,13,0
calm,0,65.073,38.006,0.316,0.022,13.709,36.31,-0.005,-0.025,9.793,0.484,98.0,2025-07-16T19:04:25.497271,14,0
calm,0,62.583,39.243,0.317,0.05,14.766,36.4,0.004,-0.012,9.802,0.958,98.8,2025-07-16T19:04:26.497271,15,0
calm,0,83.551,52.769,0.34,0.103,13.684,36.59,-0.016,-0.005,9.899,0.416,95.5,2025-07-16T19:04:27.497271,16,0
calm,0,61.736,54.007,0.417,0.092,16.479,36.39,0.089,0.025,9.806,0.937,97.9,2025-07-16T19:04:28.497271,17,0
calm,0,70.9,56.452,0.354,0.115,15.893,36.62,0.043,-0.149,9.753,0.979,96.2,2025-07-16T19:04:29.497271,18,0
calm,0,74.62,52.603,0.178,0.139,14.53,36.48,0.042,-0.11,9.857,0.881,97.3,2025-07-16T19:04:30.497271,19,0
calm,0,70.842,51.212,0.287,0.117,14.34,36.52,-0.055,0.123,9.793,0.757,96.5,2025-07-16T19:04:31.497271,20,0
calm,0,76.071,65.0,0.339,0.065,15.577,36.38,0.003,0.126,9.803,0.762,97.1,2025-07-16T19:04:32.497271,21,0
calm,0,79.453,54.939,0.381,0.122,15.032,36.62,0.097,-0.035,9.748,0.284,96.6,2025-07-16T19:04:33.497271,22,0
calm,0,71.525,35.918,0.354,0.076,14.332,36.77,0.026,0.081,9.802,0.303,97.8,2025-07-16T19:04:34.497271,23,0
calm,0,76.324,40.938,0.27,0.084,13.885,36.63,-0.042,-0.049,9.773,0.821,97.2,2025-07-16T19:04:35.497271,24,0
calm,0,63.618,39.206,0.196,0.099,15.403,36.5,0.214,-0.058,9.728,0.945,96.7,2025-07-16T19:04:36.497271,25,0
calm,0,66.874,35.591,0.325,0.141,15.844,36.58,0.038,0.105,9.866,0.597,97.3,2025-07-16T19:04:37.497271,26,0
calm,0,82.656,30.0,0.273,0.0,12.329,36.83,0.0,0.0,9.8,0.707,96.4,2025-07-16T19:04:38.497271,27,0
calm,0,64.033,56.214,0.36,0.16,14.978,36.52,0.14,0.356,9.702,0.717,97.2,2025-07-16T19:04:39.497271,28,0
calm,0,75.35,40.789,0.282,0.124,18.0,36.56,-0.025,-0.184,9.716,0.15,97.5,2025-07-16T19:04:40.497271,29,0
calm,0,60.002,53.174,0.316,0.104,11.598,36.4,0.07,0.057,9.729,0.72,97.5,2025-07-16T19:04:41.497271,30,0
calm,0,70.066,53.788,0.246,0.143,14.233,36.63,0.125,0.077,9.746,0.396,97.8,2025-07-16T19:04:42.497271,31,0
calm,0,78.561,42.941,0.24,0.147,12.024,36.74,0.336,0.008,9.814,0.909,97.3,2025-07-16T19:04:43.497271,32,0
calm,0,77.342,42.018,0.314,0.081,13.677,36.66,0.098,-0.023,9.87,0.407,97.3,2025-07-16T19:04:44.497271,33,0
calm,0,79.201,32.316,0.394,0.199,14.406,36.62,0.308,0.004,9.727,0.243,96.9,2025-07-16T19:04:45.497271,34,0
calm,0,64.503,47.811,0.345,0.165,13.635,36.35,0.212,0.075,9.808,0.186,98.7,2025-07-16T19:04:46.497271,35,0
calm,0,72.056,45.418,0.448,0.145,13.001,36.69,0.057,-0.093,9.834,0.865,97.0,2025-07-16T19:04:47.497271,36,0
calm,0,68.427,51.755,0.375,0.188,14.953,36.54,0.221,-0.072,9.761,0.987,97.5,2025-07-16T19:04:48.497271,37,0
calm,0,67.413,65.0,0.266,0.037,15.451,36.64,0.019,-0.001,9.78,0.176,97.6,2025-07-16T19:04:49.497271,38,0
calm,0,74.204,34.196,0.386,0.125,12.311,36.69,-0.074,-0.113,9.754,0.937,97.5,2025-07-16T19:04:50.497271,39,0
calm,0,62.181,43.878,0.324,0.144,11.459,36.56,-0.028,0.153,9.762,0.898,97.5,2025-07-16T19:04:51.497271,40,0
calm,0,65.399,34.878,0.281,0.197,18.0,36.41,-0.16,0.077,9.854,0.943,97.9,2025-07-16T19:04:52.497271,41,0
calm,0,58.993,50.015,0.398,0.144,15.8,36.37,-0.047,0.148,9.927,0.301,96.5,2025-07-16T19:04:53.497271,42,0
calm,0,63.117,36.547,0.252,0.191,17.258,36.45,0.24,0.17,9.837,0.113,96.2,2025-07-16T19:04:54.497271,43,0
calm,0,64.55,30.409,0.204,0.091,14.417,36.52,0.073,-0.003,9.775,0.378,97.1,2025-07-16T19:04:55.497271,44,0
calm,0,75.956,49.253,0.375,0.159,10.478,36.67,0.064,-0.131,9.935,0.268,96.5,2025-07-16T19:04:56.497271,45,0
calm,0,73.025,33.261,0.303,0.097,14.954,36.55,-0.029,0.094,9.769,0.638,98.2,2025-07-16T19:04:57.497271,46,0
calm,0,72.043,39.444,0.362,0.064,11.972,36.33,-0.029,-0.017,9.8,0.624,97.0,2025-07-16T19:04:58.497271,47,0
calm,0,67.197,53.251,0.359,0.093,15.838,36.47,0.125,0.061,9.849,0.986,96.9,2025-07-16T19:04:59.497271,48,0
calm,0,62.193,48.937,0.3,0.103,11.263,36.44,-0.01,0.048,9.768,0.879,97.2,2025-07-16T19:05:00.497271,49,0
calm,0,69.24,53.192,0.345,0.112,12.501,36.44,-0.091,0.025,9.793,0.971,96.3,2025-07-16T19:05:01.497271,50,0
calm,0,71.518,36.437,0.339,0.069,13.751,36.49,-0.002,0.142,9.861,0.24,97.1,2025-07-16T19:05:02.497271,51,0
calm,0,63.774,49.226,0.5,0.106,10.0,36.52,-0.035,0.026,9.788,0.164,97.8,2025-07-16T19:05:03.497271,52,0
calm,0,76.76,41.768,0.22,0.115,13.508,36.49,0.122,0.254,9.886,0.852,96.8,2025-07-16T19:05:04.497271,53,0
calm,0,67.067,48.058,0.285,0.123,12.645,36.22,-0.111,0.13,9.738,0.108,97.2,2025-07-16T19:05:05.497271,54,0
calm,0,70.766,47.141,0.47,0.088,13.421,36.67,0.034,-0.021,9.882,0.273,97.1,2025-07-16T19:05:06.497271,55,0
calm,0,78.483,60.692,0.309,0.0,13.304,36.47,0.0,0.0,9.8,0.46,96.6,2025-07-16T19:05:07.497271,56,0
calm,0,68.945,55.625,0.335,0.117,14.272,36.48,0.157,0.004,9.823,0.645,96.9,2025-07-16T19:05:08.497271,57,0
calm,0,69.8,52.658,0.327,0.057,15.726,36.55,-0.007,-0.025,9.83,0.282,97.1,2025-07-16T19:05:09.497271,58,0
calm,0,78.847,47.702,0.293,0.024,13.271,36.6,0.009,0.004,9.823,0.716,96.1,2025-07-16T19:05:10.497271,59,0
calm,0,77.822,56.098,0.151,0.082,15.15,36.57,-0.065,0.054,9.836,0.924,96.3,2025-07-16T19:05:11.497271,60,0
calm,0,66.481,30.0,0.235,0.081,16.267,36.42,-0.014,-0.081,9.792,0.171,97.6,2025-07-16T19:05:12.497271,61,0
calm,0,64.02,36.02,0.285,0.126,15.092,36.72,-0.039,0.032,9.837,0.641,97.4,2025-07-16T19:05:13.497271,62,0
calm,0,68.449,46.508,0.349,0.174,16.508,36.55,0.04,0.016,9.822,0.937,96.9,2025-07-16T19:05:14.497271,63,0
calm,0,55.074,57.789,0.19,0.089,14.207,36.39,-0.055,-0.161,9.851,0.821,98.4,2025-07-16T19:05:15.497271,64,0
calm,0,64.572,53.683,0.305,0.247,14.297,36.54,-0.11,0.039,9.712,0.134,96.7,2025-07-16T19:05:16.497271,65,0
calm,0,70.978,59.091,0.374,0.062,14.35,36.53,0.042,-0.115,9.767,0.83,96.8,2025-07-16T19:05:17.497271,66,0
calm,0,68.788,56.016,0.298,0.136,14.703,36.46,-0.007,-0.183,9.688,0.939,97.0,2025-07-16T19:05:18.497271,67,0
calm,0,76.563,30.029,0.391,0.066,14.31,36.5,0.055,-0.002,9.827,0.741,97.0,2025-07-16T19:05:19.497271,68,0
calm,0,73.949,33.462,0.462,0.112,13.597,36.65,0.049,-0.025,9.779,0.868,97.3,2025-07-16T19:05:20.497271,69,0
calm,0,74.409,36.373,0.408,0.166,17.9,36.73,-0.098,-0.04,9.806,0.169,97.6,2025-07-16T19:05:21.497271,70,0
calm,0,75.881,31.398,0.302,0.073,13.432,36.75,0.072,0.103,9.823,0.502,96.8,2025-07-16T19:05:22.497271,71,0
calm,0,65.331,37.404,0.367,0.139,10.751,36.51,0.071,-0.168,9.757,0.904,97.7,2025-07-16T19:05:23.497271,72,0
calm,0,64.838,35.29,0.302,0.001,16.724,36.48,0.0,0.001,9.8,0.832,96.5,2025-07-16T19:05:24.497271,73,0
calm,0,64.258,30.269,0.15,0.067,14.887,36.44,-0.061,0.042,9.84,0.799,98.1,2025-07-16T19:05:25.497271,74,0
calm,0,66.597,51.525,0.313,0.123,18.0,36.52,-0.18,0.05,9.709,0.44,96.6,2025-07-16T19:05:26.497271,75,0
calm,0,69.009,45.584,0.287,0.124,15.171,36.36,0.017,-0.101,9.863,0.698,97.7,2025-07-16T19:05:27.497271,76,0
calm,0,85.0,44.199,0.207,0.076,14.206,36.77,0.051,0.025,9.718,0.523,96.8,2025-07-16T19:05:28.497271,77,0
calm,0,66.695,41.991,0.273,0.162,11.694,36.79,-0.32,-0.176,9.755,0.715,96.8,2025-07-16T19:05:29.497271,78,0
calm,0,68.958,65.0,0.304,0.058,12.791,36.52,0.002,-0.017,9.81,0.316,97.4,2025-07-16T19:05:30.497271,79,0
calm,0,81.943,39.675,0.296,0.154,10.812,36.59,-0.129,-0.027,9.851,0.892,97.2,2025-07-16T19:05:31.497271,80,0
calm,0,75.427,46.967,0.371,0.035,12.221,36.53,-0.0,0.021,9.78,0.303,96.1,2025-07-16T19:05:32.497271,81,0
calm,0,66.021,41.223,0.254,0.107,15.297,36.39,-0.034,0.063,9.785,0.562,97.2,2025-07-16T19:05:33.497271,82,0
calm,0,73.121,37.271,0.304,0.086,13.23,36.75,0.126,-0.056,9.75,0.36,96.3,2025-07-16T19:05:34.497271,83,0
calm,0,70.422,49.602,0.227,0.08,12.068,36.62,0.096,-0.038,9.809,0.373,97.6,2025-07-16T19:05:35.497271,84,0
calm,0,56.242,38.01,0.27,0.059,16.242,36.47,-0.003,-0.007,9.732,0.358,97.8,2025-07-16T19:05:36.497271,85,0
calm,0,68.422,48.65,0.284,0.0,13.39,36.31,0.0,0.0,9.8,0.591,97.3,2025-07-16T19:05:37.497271,86,0
calm,0,59.569,37.805,0.214,0.099,13.074,36.29,-0.138,0.158,9.913,0.286,97.6,2025-07-16T19:05:38.497271,87,0
calm,0,71.751,43.43,0.199,0.156,18.0,36.56,-0.254,0.235,9.906,0.14,97.0,2025-07-16T19:05:39.497271,88,0
calm,0,78.188,42.493,0.261,0.171,14.886,36.52,-0.04,0.052,9.749,0.463,96.6,2025-07-16T19:05:40.497271,89,0
calm,0,69.646,41.292,0.24,0.103,14.97,36.56,-0.098,-0.015,9.703,0.613,96.6,2025-07-16T19:05:41.497271,90,0
calm,0,68.7,30.349,0.294,0.094,16.351,36.56,-0.037,0.117,9.807,0.948,97.4,2025-07-16T19:05:42.497271,91,0
calm,0,57.45,45.565,0.342,0.039,13.255,36.45,0.016,0.044,9.779,0.561,97.4,2025-07-16T19:05:43.497271,92,0
calm,0,71.114,35.685,0.198,0.176,17.534,36.65,-0.32,-0.119,9.871,0.798,97.9,2025-07-16T19:05:44.497271,93,0
calm,0,55.0,39.506,0.2,0.155,14.787,36.58,0.22,0.108,9.697,0.663,98.0,2025-07-16T19:05:45.497271,94,0
calm,0,67.406,45.2,0.298,0.102,12.07,36.39,-0.096,-0.06,9.808,0.601,96.8,2025-07-16T19:05:46.497271,95,0
calm,0,70.339,51.451,0.272,0.0,11.853,36.5,0.0,0.0,9.8,0.796,96.6,2025-07-16T19:05:47.497271,96,0
calm,0,71.581,47.202,0.318,0.039,14.83,36.54,0.006,-0.008,9.788,0.605,96.7,2025-07-16T19:05:48.497271,97,0
calm,0,73.885,55.991,0.226,0.057,10.0,36.69,0.011,-0.018,9.779,0.9,97.5,2025-07-16T19:05:49.497271,98,0
calm,0,85.0,41.221,0.185,0.125,10.961,36.71,0.088,0.175,9.836,0.347,97.1,2025-07-16T19:05:50.497271,99,0
calm,0,81.246,45.375,0.359,0.105,12.232,36.62,-0.095,0.02,9.919,0.746,96.5,2025-07-16T19:05:51.497271,100,0
calm,0,62.046,38.446,0.376,0.124,12.865,36.37,-0.01,0.151,9.74,0.451,97.8,2025-07-16T19:05:52.497271,101,0
calm,0,71.031,40.292,0.337,0.103,14.423,36.61,-0.016,-0.081,9.86,0.635,97.1,2025-07-16T19:05:53.497271,102,0
calm,0,72.51,30.0,0.218,0.017,16.303,36.44,-0.024,-0.013,9.804,0.793,97.8,2025-07-16T19:05:54.497271,103,0
calm,0,55.315,32.642,0.405,0.125,10.925,36.29,-0.065,-0.153,9.78,0.785,96.9,2025-07-16T19:05:55.497271,104,0
calm,0,72.823,64.207,0.278,0.038,14.73,36.73,-0.035,-0.03,9.8,0.968,97.0,2025-07-16T19:05:56.497271,105,0
